id,value
Luiz_Carlos_Busato_(PTB_-_RS).sim.sim,1
Luiz_Carlos_Hauly_(PSDB_-_PR).sim.sim,1
Luiz_Carlos_Ramos_(PTN_-_RJ).sim.ausente,1
Luiz_Cláudio_(PR_-_RO).sim.sim,1
Luiz_Couto_(PT_-_PB).não.sim,1
Luiz_Fernando_Faria_(PP_-_MG).sim.ausente,1
Luiz_Lauro_Filho_(PSB_-_SP).sim.sim,1
Luiz_Nishimori_(PR_-_PR).sim.sim,1
Luiz_Sérgio_(PT_-_RJ).não.sim,1
Luiza_Erundina_(PSOL_-_SP).não.sim,1
Luizianne_Lins_(PT_-_CE).não.sim,1
Macedo_(PP_-_CE).não.sim,1
Magda_Mofatto_(PR_-_GO).sim.sim,1
Major_Olimpio_(SD_-_SP).sim.sim,1
Mandetta_(DEM_-_MS).sim.sim,1
Manoel_Junior_(PMDB_-_PB).sim.sim,1
Mara_Gabrilli_(PSDB_-_SP).sim.sim,1
Marcelo_Álvaro_Antônio_(PR_-_MG).sim.sim,1
Marcelo_Aro_(PHS_-_MG).sim.ausente,1
Marcelo_Belinati_(PP_-_PR).sim.sim,1
Marcelo_Castro_(PMDB_-_PI).não.sim,1
Marcelo_Matos_(PHS_-_RJ).sim.ausente,1
Marcelo_Squassoni_(PRB_-_SP).sim.sim,1
Marcio_Alvino_(PR_-_SP).sim.sim,1
Márcio_Marinho_(PRB_-_BA).sim.sim,1
Marco_Antônio_Cabral_(PMDB_-_RJ).sim.não_está_em_exercício,1
Marco_Maia_(PT_-_RS).não.sim,1
Marco_Tebaldi_(PSDB_-_SC).sim.sim,1
Marcon_(PT_-_RS).não.sim,1
Marcos_Abrão_(PPS_-_GO).sim.sim,1
Marcos_Montes_(PSD_-_MG).sim.sim,1
Marcos_Reategui_(PSD_-_AP).sim.ausente,1
Marcos_Rogério_(DEM_-_RO).sim.sim,1
Marcos_Rotta_(PMDB_-_AM).sim.sim,1
Marcos_Soares_(DEM_-_RJ).sim.ausente,1
Marcus_Pestana_(PSDB_-_MG).sim.sim,1
Marcus_Vicente_(PP_-_ES).sim.sim,1
Margarida_Salomão_(PT_-_MG).não.sim,1
Maria_Do_Rosário_(PT_-_RS).não.sim,1
Maria_Helena_(PSB_-_RR).sim.sim,1
Mariana_Carvalho_(PSDB_-_RO).sim.sim,1
Marinaldo_Rosendo_(PSB_-_PE).sim.sim,1
Marinha_Raupp_(PMDB_-_RO).sim.sim,1
Mário_Heringer_(PDT_-_MG).sim.sim,1
Mário_Negromonte_Jr._(PP_-_BA).abstenção.sim,1
Marx_Beltrão_(PMDB_-_AL).sim.sim,1
Maurício_Quintella_Lessa_(PR_-_AL).sim.não_está_em_exercício,1
Mauro_Lopes_(PMDB_-_MG).sim.abstenção,1
Mauro_Mariani_(PMDB_-_SC).sim.sim,1
Mauro_Pereira_(PMDB_-_RS).sim.sim,1
Max_Filho_(PSDB_-_ES).sim.sim,1
Mendonça_Filho_(DEM_-_PE).sim.não_está_em_exercício,1
Miguel_Correa_(PT_-_MG).não.não_está_em_exercício,1
Miguel_Haddad_(PSDB_-_SP).sim.sim,1
Miguel_Lombardi_(PR_-_SP).sim.sim,1
Milton_Monti_(PR_-_SP).sim.sim,1
Miro_Teixeira_(REDE_-_RJ).sim.sim,1
Misael_Varella_(DEM_-_MG).sim.sim,1
Missionário_José_Olimpio_(DEM_-_SP).sim.sim,1
Moema_Gramacho_(PT_-_BA).não.sim,1
Moroni_Torgan_(DEM_-_CE).sim.sim,1
Moses_Rodrigues_(PMDB_-_CE).sim.sim,1
Nelson_Marchezan_Junior_(PSDB_-_RS).sim.sim,1
Nelson_Marquezelli_(PTB_-_SP).sim.ausente,1
Nelson_Meurer_(PP_-_PR).sim.abstenção,1
Nelson_Padovani_(PSDB_-_PR).sim.sim,1
Newton_Cardoso_Jr_(PMDB_-_MG).sim.sim,1
Nilson_Leitão_(PSDB_-_MT).sim.sim,1
Nilson_Pinto_(PSDB_-_PA).sim.sim,1
Nilto_Tatto_(PT_-_SP).não.sim,1
Nilton_Capixaba_(PTB_-_RO).sim.sim,1
Odelmo_Leão_(PP_-_MG).sim.sim,1
Odorico_Monteiro_(PROS_-_CE).não.sim,1
Onyx_Lorenzoni_(DEM_-_RS).sim.sim,1
Orlando_Silva_(PCdoB_-_SP).não.sim,1
Osmar_Serraglio_(PMDB_-_PR).sim.sim,1
Osmar_Terra_(PMDB_-_RS).sim.não_está_em_exercício,1
Otavio_Leite_(PSDB_-_RJ).sim.sim,1
Padre_João_(PT_-_MG).não.sim,1
Paes_Landim_(PTB_-_PI).não.sim,1
Pastor_Eurico_(PHS_-_PE).sim.sim,1
Patrus_Ananias_(PT_-_MG).não.sim,1
