id,cargo,bruto,liquido
736,Não Especificado,10100.74,7928.9
283,Não Especificado,10100.74,8021.61
665,Não Especificado,10100.74,8047.75
766,Não Especificado,10100.74,8125.88
817,Não Especificado,11710.1,8266.14
222,Não Especificado,9739.11,8295.44
658,Não Especificado,12495.27,8330.59
1007,Não Especificado,13824.02,8525.7
1022,Não Especificado,12266.88,8622.92
957,Não Especificado,10179.01,8735.34
192,Não Especificado,14509.04,9280.46
835,Não Especificado,13824.02,9318.15
907,Não Especificado,11957.15,9465.89
801,Não Especificado,12266.88,9592.06
163,Não Especificado,13824.02,9809.09
225,Não Especificado,13824.02,9851.63
122,Não Especificado,13824.02,10166.08
873,Não Especificado,13824.02,10289.82
1133,Não Especificado,13824.02,10395.37
624,Não Especificado,13824.02,10397.5
432,Não Especificado,13824.02,10459.97
99,Não Especificado,13824.02,10461.48
304,Não Especificado,13824.02,10593.6
57,Não Especificado,13824.02,10615.74
707,Não Especificado,13824.02,10615.74
151,Não Especificado,13824.02,10720.99
