segmento,on,nome,ceo,mulher,diretores,mulheres,prop
produtivo / industrial,sim,Ideiasnet,Sami Amine Haddad,não,2,1,0.50
financeiro / holding / participações,sim,Aliansce,Renato Feitosa Rique,não,5,1,0.20
consumo / varejo,sim,Cr2,André Strauss Vasques,não,3,1,0.33
produtivo / industrial,sim,Eneva,Pedro Zinner,não,4,1,0.25
consumo / varejo,sim,Unicasa,Frank Zietolie,não,3,1,0.33
consumo / varejo,sim,Helbor,Henry Borenstein,não,10,1,0.10
consumo / varejo,sim,Springs Global,Josué Christiano Gomes Da Silva,não,3,1,0.33
consumo / varejo,sim,Technos,Thiago Frias Picolo Peres,não,5,1,0.20
consumo / varejo,sim,Even,Dany Muszkat,não,3,1,0.33
consumo / varejo,sim,Time For Fun,Fernando Luiz Alterio,não,4,1,0.25
financeiro / holding / participações,sim,Br Insurance,Luiz Roberto Mesquita De Salles Oliveira,não,3,1,0.33
consumo / varejo,sim,Gafisa,Sandro Gamba,não,4,1,0.25
consumo / varejo,sim,Imc S/A,Newton Maia Salomão Alves,não,4,1,0.25
consumo / varejo,sim,Biosev,Rui Chammas,não,4,1,0.25
produtivo / industrial,sim,Ogx,Paulo Narcélio Simões Amaral,não,3,1,0.33
consumo / varejo,sim,Pdg Realty,Vladimir Kundert Ranevsky,não,2,1,0.50
produtivo / industrial,sim,Odontoprev,Rodrigo Bacellar,não,7,1,0.14
produtivo / industrial,sim,Br Pharma,Paulo Remy Gillet Neto,não,4,1,0.25
produtivo / industrial,sim,Valid,Carlos Affonso D’ Albuquerque,não,6,1,0.17
consumo / varejo,sim,B2W Digital,Anna Christina Ramos Saicali - Presidente / Ceo,sim,10,1,0.10
produtivo / industrial,sim,Jsl,Fernando Antonio Simões,não,6,0,0.00
consumo / varejo,sim,Grendene,Rudimar Dall'onder,não,3,0,0.00
financeiro / holding / participações,sim,Br Properties,Martín Andrés Jaco,não,2,0,0.00
produtivo / industrial,sim,Triunfo Part,Carlo Alberto Bottarelli,não,4,0,0.00
produtivo / industrial,sim,Csu Cardsyst,Marcos Ribeiro Leite,não,3,0,0.00
produtivo / industrial,sim,Portobello,Cesar Gomes Junior,não,4,0,0.00
consumo / varejo,sim,Iochpe-Maxion,Marcos S. Oliveira,não,3,0,0.00
consumo / varejo,sim,Minerva,Fernando Galletti De Queiroz,não,6,0,0.00
consumo / varejo,sim,Brasilagro,André Guillaumon,não,2,0,0.00
consumo / varejo,sim,Slc Agricola,Aurélio Pavinato,não,4,0,0.00
financeiro / holding / participações,sim,Lopes Brasil,Marcos Bulle Lopes,não,5,0,0.00
consumo / varejo,sim,Eztec,Flávio Ernesto Zarzur,não,9,0,0.00
produtivo / industrial,sim,Ccx Carvao,Gunnar Gonzalez Pimentel,não,1,0,0.00
consumo / varejo,sim,Movida,Renato Horta Franklin,não,2,0,0.00
produtivo / industrial,sim,Tegma,Gennaro Oddone,não,3,0,0.00
financeiro / holding / participações,sim,Sonae Sierra Brasil,José Manuel Baeta Tomás,não,3,0,0.00
produtivo / industrial,sim,Profarma,Sammy Birmarcker,não,2,0,0.00
produtivo / industrial,sim,Tupy,Luiz Tarquínio Sardinha Ferro,não,4,0,0.00
produtivo / industrial,sim,Petrorio,Blener B. C. Mayhew,não,2,0,0.00
consumo / varejo,sim,Ser Educa,Jânyo Diniz,não,5,0,0.00
consumo / varejo,sim,Sao Martinho,Fábio Venturelli,não,8,0,0.00
consumo / varejo,sim,Jhsf3,Eduardo S. Camara,não,4,0,0.00
consumo / varejo,sim,Somos Educa,Eduardo Silveira Mufarej,não,7,0,0.00
financeiro / holding / participações,sim,Tarpon Inv,José Carlos Reis De Magalhães Neto,não,2,0,0.00
produtivo / industrial,sim,Metalfrio,Petros Diamantides,não,4,0,0.00
produtivo / industrial,sim,Eternit,Nelson Pazikas,não,4,0,0.00
consumo / varejo,sim,Pomifrutas,Marcos Kassardjian,não,2,0,0.00
consumo / varejo,sim,Viver,Eduardo Ramos Canonico,não,2,0,0.00
consumo / varejo,sim,Trisul,Jorge Cury Neto,não,2,0,0.00
produtivo / industrial,sim,Linx,Alberto Menache,não,4,0,0.00
produtivo / industrial,sim,Ourofino S/A,Jardel Massari,não,2,0,0.00
produtivo / industrial,sim,Magnesita Sa,Luis Rodolfo Mariani Bittencourt,não,6,0,0.00
consumo / varejo,sim,Metal Leve,Claus Hoppen,não,2,0,0.00
consumo / varejo,sim,Tecnisa,Meyer Joseph Nigri,não,9,0,0.00
produtivo / industrial,sim,Prumo,José Magela Bernardes,não,5,0,0.00
